1;F-Zero;Sram_v110;4194304;Nintendo;7;Independent;256;25E3FC9A;13614BF9;534B8EC4;;1;;0
2;Super Mario Advance;Eeprom_v111;4194304;Nintendo;7;Independent;256;B993B92F;B70324CE;78E2FBA4;;2;;0
3;Battle Network Rockman EXE;Sram_v110;8388608;Capcom;7;Eurasia;256;D9516E50;176C42D6;D777750D;;3;;0
4;Kurukuru Kururin;Sram_v110;4194304;Nintendo;7;Eurasia;256;8A6A900B;164E96ED;A045A4D8;;4;;0
5;Mr. Driller 2;Sram_F_v100;4194304;Namco;7;Capital;256;5264C730;1229DBDF;739D0E8F;;5;;0
6;Chu Chu Rocket!;Flash_v121;4194304;Sega;7;Capital;4419;2C8C1B5A;DC5FD99A;D61B2407;;6;;0
7;Akumajou Dracula - Circle of the Moon;Sram_v110;8388608;Konami;7;Capital;256;F3E41D73;57FFF518;C941BF8F;;7;;0
8;Advance GTA;Sram_v110;8388608;MTO;7;Capital;2;FDC82E98;58FB3FFE;FE9EB1CB;;8;;0
9;Konami Wai Wai Racing Advance;Sram_v110;4194304;Konami;7;Capital;256;AA039A8A;93E2B421;7FD387ED;;9;;0
10;Bakunetsu Dodge Ball Fighters;Sram_v110;4194304;Atlus;7;Capital;256;9030515D;2977FD8C;8B610F21;;10;;0
11;Pinobee no Daibouken;Sram_v110;8388608;Hudson;7;Capital;256;FEBF9045;4F02091D;28962410;;11;;0
12;Power Pro Kun Pocket 3;Sram_v110;8388608;Konami;7;Capital;256;4314D8BC;B5266C72;DDC6E134;;12;;0
13;Napoleon;Sram_v110;8388608;Nintendo;7;Capital;256;FA016764;BC622C32;3FDD81BF;;13;;0
14;Zen-Nippon GT Senshuken;Flash_v121;4194304;Kemco;7;Capital;2;D320A965;0FC56901;F8C38767;;14;;0
15;Fire Pro Wrestling A;Flash_v121;8388608;Spike;7;Capital;256;0BB47E83;A470077F;5F9E6D44;;15;;0
16;Tweety no Hearty Party;Sram_v110;4194304;Kemco;7;Capital;256;D38672BF;235EE62A;6E12B281;;16;;0
17;JGTO Kounin Golf Master - Japan Golf Tour Game;Flash_v121;8388608;Konami;7;Capital;256;0BA5809F;374B0C59;404A7763;;17;;0
18;Winning Post;Flash_v121;4194304;Koei;7;Rapid Fire;256;5ADA60F6;6421562E;4A8BD0C9;;18;;0
19;Silent Hill - Play Novel;Sram_v110;8388608;Konami;7;Rapid Fire;256;318A1E9B;7CBD624E;274A48E7;;19;;0
20;Yu-Gi-Oh! Dungeon Dice Monsters;Flash_v120;8388608;Konami;7;Rapid Fire;256;51B35E87;18BE34F7;1D0BCD44;;20;;0
21;Boku ha Koukuu Kanseikan;Sram_v110;8388608;TAM;7;Rapid Fire;256;5E3B163E;E6428825;202B3F67;;21;;0
22;J.League Pocket;Sram_v110;8388608;Konami;7;Rapid Fire;256;51BE73B8;8EFB2E71;63273BF4;;22;;0
23;Momotarou Matsuri;Sram_v110;4194304;Hudson;7;Rapid Fire;256;BF0523D1;5578B6A3;86B9A268;;23;;0
24;Monster Guardians;Sram_v110;8388608;Konami;7;Rapid Fire;256;93815CDE;BA8D9079;A96FC0EC;;24;;0
25;Super Mario Advance;Eeprom_v120;4194304;Nintendo;16;Eurasia;2;69924CBD;E17974D9;BB11C51A;[Beta];25;beta;0
26;Final Fight One;Eeprom_v120;4194304;Capcom;7;Eurasia;256;C9E5E223;174ECAF4;B59AFAE2;;26;;0
27;Bomberman Story;Sram_v110;4194304;Hudson;7;Eurasia;256;38231BC2;19941217;5F0CA80E;;27;;0
28;Iridion 3D;None;4194304;Majesco Sales;16;Eurasia;2;34189E74;99AE0E1E;885B8A79;;28;;0
29;Pinobee - Wings of Adventure;Sram_v111;8388608;Activision;16;Eurasia;2;D9385207;E7A29CCA;137E478B;;29;;0
30;Ready 2 Rumble Boxing - Round 2;None;4194304;Midway;1;Eurasia;2;5DFCC5E5;6AEBCB92;708B3F99;;30;;0
